rank,enr_contractor_name,search_term,procore_company_name,location,city,state,address,profile_url,joined_date,total_projects,active_projects,avg_project_size,procore_users,business_types,market_sectors,match_confidence
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Nashville, TN",Nashville,TN,"22 Century Blvd Nashville, TN 37214",https://network.procore.com/p/yates-construction-nashville,June 2023,,,,1,General Contractor,Commercial,1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates,"Nashville, TN",Nashville,TN,"915 Division St Nashville, TN 37203",https://network.procore.com/p/yates-nashville,February 2024,1,1,2615000000,1,General Contractor,Industrial and Energy,1.0
43,BIG-D CONSTRUCTION,BIG-D CONSTRUCTION,Big D Construction,"Tempe, AZ",Tempe,AZ,"738 S 52nd St Tempe, AZ 85281",https://network.procore.com/p/big-d-construction-tempe,June 2024,,,,1,General Contractor,Industrial and Energy,1.0
44,MOSS,MOSS,Moss,"Fort Lauderdale, FL",Fort Lauderdale,FL,"2101 N Andrews Ave Fort Lauderdale, FL 33311",https://network.procore.com/p/moss-fort-lauderdale,June 2023,12,9,42192298,1,General Contractor,Commercial,1.0
44,MOSS,MOSS,Moss,"Miami, FL",Miami,FL,"700 NW 1st Ave Miami, FL 33136",https://network.procore.com/p/moss-miami,April 2024,1,1,27042983,1,General Contractor,Commercial,1.0
44,MOSS,MOSS,Moss Construction,"Miami, FL",Miami,FL,"700 NW 1st Ave 1420 Miami, FL 33136",https://network.procore.com/p/moss-construction-miami,November 2023,8,7,195312408,1,General Contractor,Commercial,1.0
44,MOSS,MOSS,Moss Construction,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL 33311 Fort Lauderdale, FL 33311",https://network.procore.com/p/moss-construction-fort-lauderdale,July 2022,25,16,721729,1,General Contractor,Commercial,1.0
44,MOSS,MOSS,MOSS HOLDING COMPANY,"Franklin Park, IL",Franklin Park,IL,"10501 Seymour Ave STE 200 Franklin Park, IL 60131",https://network.procore.com/p/moss-holding-company-franklin-park,August 2023,2,1,7220852,1,Specialty Contractor,Commercial,1.0
45,TURNER INDUSTRIES GROUP LLC,TURNER INDUSTRIES,Turner Industries Group,"Nederland, TX",Nederland,TX,"2005 Industrial Dr Nederland, TX 77627",https://network.procore.com/p/turner-industries-group-nederland,March 2024,,,,1,General Contractor,Industrial and Energy,1.0
47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,Ferrovial Construction US,"Atlanta, GA",Atlanta,GA,"1190 W Druid Hills Dr NE Atlanta, GA 30329",https://network.procore.com/p/ferrovial-construction-us-atlanta,February 2024,2,2,79000000,1,General Contractor,Infrastructure,1.0
47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,Ferrovial,"Atlanta, GA",Atlanta,GA,"270 Carpenter Dr NE Atlanta, GA 30328",https://network.procore.com/p/ferrovial-atlanta,January 2024,,,,1,Specialty Contractor,Infrastructure,1.0
47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,Ferrovial,"Fort Worth, TX",Fort Worth,TX,"13601 N Fwy Fort Worth, TX 76177",https://network.procore.com/p/ferrovial-fort-worth,October 2023,4,4,307366515,1,General Contractor,Infrastructure,1.0
47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,ferrovial,"A Coruña, GA",A Coruña,GA,"Av. Ferrocarril A Coruña, GA 27002",https://network.procore.com/p/ferrovial-a-coruna,May 2023,1,1,59963908,1,Engineer,Infrastructure,1.0
47,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,FERROVIAL CONSTRUCTION US,Ferrovial,"Fort Worth, TX",Fort Worth,TX,"13601 N Fwy Suite 200 Fort Worth, TX 76177",https://network.procore.com/p/ferrovial-fort-worth-1,September 2023,4,3,310342617,1,"Consultant, Engineer, General Contractor",Infrastructure,1.0
48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,Alston Construction,"Greenville, SC",Greenville,SC,"110 East Court Street Greenville, SC 29601",https://network.procore.com/p/alston-construction-greenville,March 2024,24,17,117724568,5,General Contractor,"Commercial, Industrial and Energy",1.0
48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,Alston Construction,"Edison, NJ",Edison,NJ,"180 Raritan Center Pkwy Edison, NJ 08837",https://network.procore.com/p/alston-construction-edison,July 2023,9,8,19307761,2,General Contractor,Commercial,1.0
48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,Alston Construction,"Sacramento, CA",Sacramento,CA,"400 Capitol Mall Suite 2060 Sacramento, CA 95814",https://network.procore.com/p/alston-construction-sacramento,August 2023,1,1,,1,General Contractor,Commercial,1.0
48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,Alston Construction,"Sunrise, FL",Sunrise,FL,"13680 NW 5th St suite 140 Sunrise, FL 33325",https://network.procore.com/p/alston-construction-sunrise,October 2023,4,3,4170124,1,General Contractor,Commercial,1.0
48,ALSTON CONSTRUCTION,ALSTON CONSTRUCTION,Alston Construction,"Downers Grove, IL",Downers Grove,IL,"1900 Butterfield Rd Downers Grove, IL 60515",https://network.procore.com/p/alston-construction-downers-grove,September 2023,1,1,,1,General Contractor,Commercial,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron Construction,"Bedford, TX",Bedford,TX,"2350 Airport Fwy Bedford, TX 76021",https://network.procore.com/p/flatiron-construction-bedford,October 2023,4,4,418520327,1,General Contractor,Infrastructure,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron Construction,"Seattle, WA",Seattle,WA,"2454 Occidental Ave S Seattle, WA 98134",https://network.procore.com/p/flatiron-construction-seattle,March 2024,,,,,General Contractor,Infrastructure,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron Construction,"Chino, CA",Chino,CA,"14726 Ramona Ave Suite 300 Chino, CA 91710",https://network.procore.com/p/flatiron-construction-chino,May 2023,2,1,16925866,1,General Contractor,Infrastructure,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron,"Stafford, VA",Stafford,VA,"21 Venture Dr Stafford, VA 22554",https://network.procore.com/p/flatiron-stafford,April 2022,1,1,148259732,1,General Contractor,Commercial,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron,"Fort Worth, TX",Fort Worth,TX,"2405 Gravel Dr Fort Worth, TX 76118",https://network.procore.com/p/flatiron-fort-worth,March 2023,5,5,70684168,1,"Engineer, General Contractor",Infrastructure,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron,"Alexandria, VA",Alexandria,VA,"6363 Walker Ln Suite 340 Alexandria, VA 22310",https://network.procore.com/p/flatiron-alexandria,November 2023,4,4,259654364,2,General Contractor,Commercial,1.0
49,FLATIRON CONSTRUCTION,FLATIRON CONSTRUCTION,Flatiron,"Phoenix, AZ",Phoenix,AZ,"3157 E Elwood St Suite 100 Phoenix, AZ 85034",https://network.procore.com/p/flatiron-phoenix,April 2023,1,1,,1,"Engineer, General Contractor, Specialty Contractor","Commercial, Industrial and Energy, Infrastructure",1.0
52,PEPPER CONSTRUCTION,PEPPER CONSTRUCTION,Pepper Construction,"Etna, OH",Etna,OH,"8940 Global Wy SW Etna, OH 43062",https://network.procore.com/p/pepper-construction-etna,April 2024,1,1,250500,1,Owner Real Estate Developer,Commercial,1.0
52,PEPPER CONSTRUCTION,PEPPER CONSTRUCTION,Pepper Construction,"Chicago, IL",Chicago,IL,"643 N Orleans St Chicago, IL 60654",https://network.procore.com/p/pepper-construction-chicago,April 2023,1,,,1,General Contractor,Healthcare,1.0
52,PEPPER CONSTRUCTION,PEPPER CONSTRUCTION,Pepper Construction,"Dublin, OH",Dublin,OH,"5185 Blazer Pkwy Dublin, OH 43017",https://network.procore.com/p/pepper-construction-dublin,July 2023,70,39,3906072,1,General Contractor,"Commercial, Healthcare, Industrial and Energy, Institutional",1.0
52,PEPPER CONSTRUCTION,PEPPER CONSTRUCTION,Pepper Construction Company,"Barrington, IL",Barrington,IL,"471 N Lake Zurich Rd Barrington, IL 60010",https://network.procore.com/p/pepper-construction-company-barrington-1,April 2022,3,2,66000000,1,Specialty Contractor,"Commercial, Healthcare, Industrial and Energy, Infrastructure, Institutional, Residential",1.0
53,LENDLEASE,LENDLEASE,Lendlease,"New York, NY",New York,NY,"200 Park Ave New York, NY 10003",https://network.procore.com/p/lendlease-new-york-2,February 2024,3,2,1500000000,1,General Contractor,"Commercial, Healthcare, Institutional, Residential",1.0
53,LENDLEASE,LENDLEASE,Lendlease,"Nashville, TN",Nashville,TN,"1201 Demonbreun St Suite 800 Nashville, TN 37203",https://network.procore.com/p/lendlease-nashville,August 2024,,,,1,General Contractor,Residential,1.0
53,LENDLEASE,LENDLEASE,LendLease,"Camp Springs, MD",Camp Springs,MD,"4210 Silver Hill Rd Camp Springs, MD 20746",https://network.procore.com/p/lendlease-camp-springs,July 2023,1,1,110709097,1,General Contractor,Commercial,1.0
